fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-12-02,07:02:43,Libia,Terrorismo,"La Misión sigue aumentando en el mercado negro de los principales consumidores de electricidad de Egipto, rechazando los “derechos de invierno” y advierten contra el cierre de las fábricas centrales que venden divisas a los bancos y asigna aproximadamente 2.000 millones de dólares de los EE.UU. a la Misión de las Naciones Unidas: la eliminación de miles de piezas de residuos de la explosión de skirat de agosto del pasado mes de agosto en Egipto, con lo que se confirma su apoyo al pueblo palestino y se pide que se ponga fin a los ataques y el levantamiento del bloqueo de Gaza.",Tripoli,32.887,13.191,WEB https://libyaalahrar.tv/
2025-12-02,07:02:47,Libia,Conflicto Armado,Plataforma libia: seguridad y militar. Comuníquese con nosotros por correo electrónico@almenassa.ly,,,,WEB https://almenassa.ly/%D8%A7%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D9%81%D8%A7%D8%AA/%d8%a3%d9%85%d9%86%d9%8a-%d9%88%d8%b9%d8%b3%d9%83%d8%b1%d9%8a/
2025-12-02,08:50:49,Libia,Conflicto Armado,"El Gobierno está examinando la evolución de la situación política, económica y de seguridad nacional con el Jefe de Gobierno saliente Abdulhamid Dabbah, Presidente y miembros del Consejo Social del Mercado del Viernes en los cuatro aspectos, y ha examinado con ellos la evolución de la situación política, económica y de seguridad en el país, la “Dibba” con el Comandante de Africom para promover la cooperación militar en Trípoli. El Jefe de Gobierno saliente recibió hoy en Trípoli al Jefe de Estado de los Estados Unidos, “Africom” Dagfin ...",Tripoli,32.887,13.191,WEB https://www.alwatan-ly.com/libya/
2025-12-02,09:03:01,Libia,Conflicto Armado,Plataforma libia: seguridad y militar. Comuníquese con nosotros por correo electrónico@almenassa.ly,,,,WEB https://almenassa.ly/%D8%A7%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D9%81%D8%A7%D8%AA/%d8%a3%d9%85%d9%86%d9%8a-%d9%88%d8%b9%d8%b3%d9%83%d8%b1%d9%8a/
2025-12-02,09:08:44,Libia,Terrorismo,"La Misión sigue aumentando en el mercado negro de los principales consumidores de electricidad de Egipto, rechazando los “derechos de invierno” y advierten contra el cierre de las fábricas centrales que venden divisas a los bancos y asigna aproximadamente 2.000 millones de dólares de los EE.UU. a la Misión de las Naciones Unidas: la eliminación de miles de piezas de residuos de la explosión de skirat de agosto del pasado mes de agosto en Egipto, con lo que se confirma su apoyo al pueblo palestino y se pide que se ponga fin a los ataques y el levantamiento del bloqueo de Gaza.",Tripoli,32.887,13.191,WEB https://libyaalahrar.tv/
2025-12-02,11:08:58,Libia,Criminalidad,"La crisis política creada con la zona del mercado del viernes se ha convertido en una crisis humanitaria que afecta a la salud y la seguridad de los ciudadanos. – No es una crisis, es un crimen perfecto, un robo manifiesto y una hambruna sistemática en el sector público hasta que se les entregue la fuerza de la corrupción y de los traficantes de dolor.",Suq al Jumaa,32.874,13.210,@libyapress
2025-12-02,11:11:32,Libia,Terrorismo,"La Misión sigue aumentando en el mercado negro de los principales consumidores de electricidad de Egipto, rechazando los “derechos de invierno” y advierten contra el cierre de las fábricas centrales que venden divisas a los bancos y asigna aproximadamente 2.000 millones de dólares de los EE.UU. a la Misión de las Naciones Unidas: la eliminación de miles de piezas de residuos de la explosión de skirat de agosto del pasado mes de agosto en Egipto, con lo que se confirma su apoyo al pueblo palestino y se pide que se ponga fin a los ataques y el levantamiento del bloqueo de Gaza.",Tripoli,32.887,13.191,WEB https://libyaalahrar.tv/
2025-12-02,11:11:36,Libia,Conflicto Armado,"El Consejo, en colaboración con la Oficina de Investigación Criminal, recibió hoy en Trípoli a los miembros del Consejo Ejecutivo del Mando Militar de los Estados Unidos en África (Afrikum) y a los miembros del Consejo Ejecutivo de la Organización Mundial de la Salud (Africom) en la reunión del Consejo Ejecutivo de la Organización Mundial de la Salud (OMS) en la que participaron los autores de los robos ocurridos en 2013 y que fueron remitidos a la Fiscalía después de la conclusión de los procedimientos nacionales. El Consejo de Seguridad de Trípoli, en colaboración con la Oficina de Invest...",Tripoli,32.887,13.191,WEB https://www.alwatan-ly.com/libya/
2025-12-02,11:11:37,Libia,Conflicto Armado,Plataforma libia: seguridad y militar. Comuníquese con nosotros por correo electrónico@almenassa.ly,,,,WEB https://almenassa.ly/%D8%A7%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D9%81%D8%A7%D8%AA/%d8%a3%d9%85%d9%86%d9%8a-%d9%88%d8%b9%d8%b3%d9%83%d8%b1%d9%8a/
2025-12-02,11:17:27,Libia,Conflicto Armado,"Libia, periódico de las 24 de la Garbalí: “El pueblo y la droga con pan y productos de la Asamblea, y los dirigentes de Yibe son los que están en coma”, dijo el ex Presidente de la Junta Militar, Tahir al-Ghrabili, Sabrata, que la negativa del pueblo se debía a la persistencia del efecto negativo de la droga derramada ... sobre Ali al-Salabi: Haram al-Sultan mutiló a un héroe turco Mujahid y a Kabir Ali al-Slabi en Turquía, y que Haram al-Sultan había mutilado a un héroe turco Mujahid y Kabir.",Misrata,32.375,15.092,WEB https://www.alsaaa24.com/category/%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/
